id,review_number,revision_number,author,status,change_id,url,original_before_commit_id,original_after_commit_id,before_commit_id,after_commit_id
12674_rev1,12674,1,Mike Wiederhold,MERGED,Ia12887f75748ce0fcf5f3fcf5c11bdd3436cea72,http://review.couchbase.org/#/c/12674/1,dae865cd21c290d908e4b190c0af67a515b80e6f,a747473ac7451e5fa3b80ad2c79a8503201b5828,ce42b67d64baacee1a6c076e06c0135092bfeabb,60e0f502963c4b9063105e9b2c09af527683efff
12674_rev2,12674,2,Mike Wiederhold,MERGED,Ia12887f75748ce0fcf5f3fcf5c11bdd3436cea72,http://review.couchbase.org/#/c/12674/2,dae865cd21c290d908e4b190c0af67a515b80e6f,655e6c98e04638378b53b4d1305124ba52e5f10f,4558522ccb9a693dedca859b4d1fc4baad7b9679,ef7a8cd76392f9e075ee2306f1746a6bd24ebc8b
12687_rev1,12687,1,Mike Wiederhold,ABANDONED,Ic77723ad6597652e20cfc13d4beb22a78fdd677c,http://review.couchbase.org/#/c/12687/1,655e6c98e04638378b53b4d1305124ba52e5f10f,f5013f7f4a712949c12eda8913d12fd8f07e610f,ef7a8cd76392f9e075ee2306f1746a6bd24ebc8b,2ee413b902c34bd224a3ebda5eb1a11c7b4df74c
12687_rev2,12687,2,Mike Wiederhold,ABANDONED,Ic77723ad6597652e20cfc13d4beb22a78fdd677c,http://review.couchbase.org/#/c/12687/2,655e6c98e04638378b53b4d1305124ba52e5f10f,43b3dbb9c4cfa5121c841609f3e3a7077debb33a,24c85af79cf9f1cc6328813c08fd62f129fc3fa0,8c1adaa400c4be90cee4163e5bed09b1163c51c0
12688_rev1,12688,1,Mike Wiederhold,MERGED,If110e8fe50157411ea0fa81d63b062e577482fc8,http://review.couchbase.org/#/c/12688/1,f5013f7f4a712949c12eda8913d12fd8f07e610f,79f04a088fda405e241dc3768f1f7476e5d29032,8c1adaa400c4be90cee4163e5bed09b1163c51c0,85a6abc731d0bc3ddbcd271df61afcfe01d5a315
12688_rev2,12688,2,Mike Wiederhold,MERGED,If110e8fe50157411ea0fa81d63b062e577482fc8,http://review.couchbase.org/#/c/12688/2,43b3dbb9c4cfa5121c841609f3e3a7077debb33a,f51694be88be8ef9e690a57caadbb7fa24a6d10a,12533f1e9677f73618d2b4fb390af912f8ec39af,b348467ca8f3c6432364d2a8697766276d003156
12688_rev3,12688,3,Mike Wiederhold,MERGED,If110e8fe50157411ea0fa81d63b062e577482fc8,http://review.couchbase.org/#/c/12688/3,61e9afe2f21766bf0273274066546266c2b59284,60bba3c46d2095e8bc3d9b28b3813855fc5a70be,095f92d4ada6cdd0f45780d68bf9b1558623b4fa,62df25373ec20b5302382f52d1aaa37245f966fa
12689_rev1,12689,1,Mike Wiederhold,MERGED,I2d30d058a57a696e8de196224e568c0e28f477ca,http://review.couchbase.org/#/c/12689/1,79f04a088fda405e241dc3768f1f7476e5d29032,568571b1a4687430a19201f549ad9504df2a74c1,85ac62a4dfa0534de977c0c976f74d1eb8a02cd6,a9b190040279960d7a693692cdf7965981899688
12689_rev2,12689,2,Mike Wiederhold,MERGED,I2d30d058a57a696e8de196224e568c0e28f477ca,http://review.couchbase.org/#/c/12689/2,f51694be88be8ef9e690a57caadbb7fa24a6d10a,07a2204bb06634fac2f8392929e1f2bae23bdd62,657b882ca1f0fc527f845bdee833e214ad33d412,c95a389fc29992c56fa2f1640e2955041bc8531a
12689_rev3,12689,3,Mike Wiederhold,MERGED,I2d30d058a57a696e8de196224e568c0e28f477ca,http://review.couchbase.org/#/c/12689/3,60bba3c46d2095e8bc3d9b28b3813855fc5a70be,774f1e8be15b3f590bea41b9aa58c8872b8ba0ff,9d02fe53f677b0cb9e5dfa0190976d55f65c7fe0,9594018e55b3547839841cec1810598c51378731
